id	ENSG00000222041	ENSG00000227372	ENSG00000232533	ENSG00000256802
TCGA-HT-7477	0.813213953	1.000386924	6.584230133	0.199168323
TCGA-HT-7478	1.03687991	1.467027936	5.536271985	0.195616624
TCGA-HT-7479	0.184600097	2.253565456	3.234729162	0.058617978
TCGA-HT-7480	0.492189085	1.20579898	2.957583978	0.175459988
TCGA-HT-7481	0.177391849	2.822556982	3.37637683	0.132311513
TCGA-HT-7482	0.178533209	1.801140326	3.366055134	0.06823597
TCGA-HT-7483	0.831613532	1.033476178	4.198794485	0.121531067
TCGA-HT-7485	0.101677786	0.968328705	1.689639524	0.057634822
TCGA-HT-7601	0.930389675	2.508073928	7.914659178	0.099085872
TCGA-HT-7602	0.146023925	2.92992544	3.36605842	0.127028391
TCGA-HT-7603	1.627616836	1.696967782	4.829958382	0.147178017
TCGA-HT-7604	0.145784649	0.59450426	3.290967404	0.026776293
TCGA-HT-7605	0.454768413	2.173925514	4.746492117	0.242749035
TCGA-HT-7606	0.957250821	0.80582829	7.030431902	0.023236012
TCGA-HT-7608	0.103653707	0.498681819	2.71165129	0.125336747
TCGA-HT-7609	0.193465588	0.810908076	4.185398288	0.041477295
TCGA-HT-7610	0.449412892	1.586969236	3.130654969	0.28118412
TCGA-HT-7611	0.215793181	0.99839317	3.064706324	0.068776399
TCGA-HT-7620	0.17934164	4.524403305	3.658100272	0.02798575
TCGA-HT-7676	0.251422352	0.959513523	2.481972118	0.068010987
TCGA-HT-7677	0.347009954	1.049960601	2.902131226	0.191943838
TCGA-HT-7680	0.833132194	3.926265241	3.371137772	0.600423841
TCGA-HT-7681	0.498344874	2.4467674	5.106346332	0.329320775
TCGA-HT-7684	0.413694095	0.378074177	5.615565183	0.061480848
TCGA-HT-7686	1.076437094	1.62875196	4.605155069	0.243034375
TCGA-HT-7687	0.432692927	1.488018383	3.166763903	0.093915927
TCGA-HT-7688	0.730371368	2.290485302	4.041995475	0.322547531
TCGA-HT-7689	0.165411902	2.165304852	3.714907532	0.05441181
TCGA-HT-7690	1.555451584	1.329463515	7.700671733	0.417006129
TCGA-HT-7691	2.473221527	4.9656162	7.628285065	0.109307282
TCGA-HT-7692	0.166837181	0.393549278	4.980264432	0.035041206
TCGA-HT-7693	0.965696697	0.582147601	10.34553249	0.103943528
TCGA-HT-7694	0.535460744	3.037707394	3.149887456	0.24145258
TCGA-HT-7695	0.425341639	1.89244889	2.861784717	0.220624861
TCGA-HT-7854	0.331327385	6.135136645	3.385676513	0.307885608
TCGA-HT-7855	0.139222334	0.502323179	2.371860637	0.016315579
TCGA-HT-7856	0.571293842	3.490643636	4.306942013	0.448154703
TCGA-HT-7857	7.448917304	6.985658896	14.55869397	0.593688732
TCGA-HT-7858	0.332421372	2.117632153	3.154599719	0.022357867
TCGA-HT-7860	1.503642198	9.971519722	7.268266442	0.334803285
TCGA-HT-7873	0.239477994	1.470091754	4.059206841	0.06951336
TCGA-HT-7874	0.620598063	2.715473492	3.318969269	0.309998173
TCGA-HT-7875	0.451689022	0.739349213	4.101463853	0.32689603
TCGA-HT-7877	0.366529273	1.846030399	2.787648022	0.198363272
TCGA-HT-7879	0.330111491	1.537305076	3.532002738	0.070164613
TCGA-HT-7880	0.630538175	3.096597444	3.69298591	0.397556381
TCGA-HT-7881	0.861534925	3.901005832	2.950935368	0.200708857
TCGA-HT-7882	19.35124672	5.66710907	14.42941697	0.285459855
TCGA-HT-7884	0.199023549	1.768394654	1.873371345	0.036280787
TCGA-HT-7902	0.247554438	4.739570391	2.993765949	0.083650885
TCGA-HT-8010	0.292813834	1.644510149	2.677882874	0.249512395
TCGA-HT-8011	2.595994904	9.645997578	10.8580889	0.419104679
TCGA-HT-8012	0.232301155	0.719847481	4.005751833	0.125805227
TCGA-HT-8015	1.524610152	3.579702147	6.313651131	0.921901835
TCGA-HT-8018	2.353304706	3.310816275	7.515944118	0.452506898
TCGA-HT-8019	0.793164357	3.09597355	4.864689141	0.399533655
TCGA-HT-8104	2.845998686	10.16821936	11.01912995	0.268420053
TCGA-HT-8105	2.019503442	1.150205879	6.700357877	0.065233609
TCGA-HT-8106	1.736607075	3.667380334	7.747311651	0.115275328
TCGA-HT-8107	0.941375793	3.854351135	4.275102163	0.311431315
TCGA-HT-8108	0.184676813	1.276768978	2.99505768	0.066320467
TCGA-HT-8109	0.570608299	2.144464589	3.414979076	0.144947491
TCGA-HT-8110	1.83567555	7.514431138	6.492247993	1.294243784
TCGA-HT-8111	0.207946839	1.924190046	4.900754667	0.252509762
TCGA-HT-8113	0.842673888	3.133428696	4.184285117	0.414123436
